station_id,station_name,year,month,month_total
41490,Harrison,2024,8,87042
41400,Roosevelt,2024,8,240030
41000,Cermak-Chinatown,2024,8,117097
40190,Sox-35th-Dan Ryan,2024,8,90312
41230,47th-Dan Ryan,2024,8,39813
41170,Garfield-Dan Ryan,2024,8,50498
40910,63rd-Dan Ryan,2024,8,36116
40990,69th,2024,8,67155
40240,79th,2024,8,87787
41430,87th,2024,8,50405
40450,95th/Dan Ryan,2024,8,128479
41050,Linden,2024,8,19900
41250,Central-Evanston,2024,8,12033
40400,Noyes,2024,8,12748
40520,Foster,2024,8,10986
40050,Davis,2024,8,50501
40690,Dempster,2024,8,14006
40270,Main,2024,8,17543
40840,South Boulevard,2024,8,10915
40140,Dempster-Skokie,2024,8,27568
41680,Oakton-Skokie,2024,8,12406
40890,O'Hare Airport,2024,8,323981
40820,Rosemont,2024,8,126534
40230,Cumberland,2024,8,67895
40750,Harlem-O'Hare,2024,8,40454
41280,Jefferson Park,2024,8,128527
41330,Montrose-O'Hare,2024,8,45058
40550,Irving Park-O'Hare,2024,8,72265
41240,Addison-O'Hare,2024,8,49170
40060,Belmont-O'Hare,2024,8,93964
41020,Logan Square,2024,8,116449
40570,California/Milwaukee,2024,8,90914
40670,Western/Milwaukee,2024,8,90068
40590,Damen/Milwaukee,2024,8,112505
40320,Division/Milwaukee,2024,8,106427
41410,Chicago/Milwaukee,2024,8,70717
40490,Grand/Milwaukee,2024,8,62900
40370,Washington/Dearborn,2024,8,223501
40790,Monroe/Dearborn,2024,8,95880
40070,Jackson/Dearborn,2024,8,103672
41340,LaSalle,2024,8,52468
40430,Clinton-Forest Park,2024,8,50776
40350,UIC-Halsted,2024,8,70304
40470,Racine,2024,8,18015
40810,Medical Center,2024,8,37198
40220,Western-Forest Park,2024,8,18152
40250,Kedzie-Homan-Forest Park,2024,8,25932
40920,Pulaski-Forest Park,2024,8,19422
40970,Cicero-Forest Park,2024,8,16680
40010,Austin-Forest Park,2024,8,18056
40180,Oak Park-Forest Park,2024,8,14951
40980,Harlem-Forest Park,2024,8,11496
40390,Forest Park,2024,8,34204
41030,Polk,2024,8,55227
40830,18th,2024,8,40584
40210,Damen-Cermak,2024,8,32371
40740,Western-Cermak,2024,8,24800
40440,California-Cermak,2024,8,29222
41040,Kedzie-Cermak,2024,8,23242
40780,Central Park,2024,8,22452
40150,Pulaski-Cermak,2024,8,20809
