community_area,community_area_name,pop_total,median_hh_income,pct_no_vehicle_hh,pct_disabled,pct_65_plus,centroid_lat,centroid_lon,pct_65_plus_need_0_100,pct_disabled_need_0_100,pct_no_vehicle_hh_need_0_100,median_hh_income_need_0_100,transportation_need_index_0_100,need_quintile,total_trips
49,Roseland,36743.77083837646,54631.62329429716,0.2258555365473399,0.21407455449800916,0.19051127989769814,41.70658996158545,-87.62336576896239,84.42,44.16,57.14,70.13,63.96,High,1074828
50,Pullman,6784.085981232205,61890.33427491189,0.11991875787067326,0.2256033593534502,0.1816491457645462,41.70612706247851,-87.59825466721087,75.32,55.84,25.97,61.04,54.54,Moderate,355781
51,South Deering,12874.578260653625,48762.315052370155,0.22543865244878825,0.19296409882932297,0.21890008341509773,41.69063701237842,-87.57005674804512,92.21,31.17,55.84,76.62,63.96,High,348185
52,East Side,22711.334164733387,63378.93066417363,0.11620885488617057,0.2749449449824034,0.13498148752012779,41.707313961745264,-87.53490233790232,36.36,94.81,23.38,57.14,52.92,Moderate,100912
53,West Pullman,32582.737590272845,54394.760797623334,0.21913382758041508,0.2272799503602567,0.18407003539124653,41.67382005041712,-87.63574016612793,80.52,58.44,50.65,71.43,65.26,Very High,534822
54,Riverdale,16515.493464970095,37357.01017595507,0.20408965895082795,0.35736388680213865,0.113338956875143,41.66013746994187,-87.60284873294681,19.48,100.0,45.45,90.91,63.96,High,156019
55,Hegewisch,16014.904108893617,54694.24984015014,0.11518914610191719,0.2530384608307758,0.1528009200403191,41.66053490476759,-87.54657542639667,49.35,81.82,22.08,68.83,55.52,High,60717
56,Garfield Ridge,53370.78949741972,88205.64679960707,0.07610552393703232,0.23960351085884563,0.15631424593305224,41.796185611808966,-87.76423968103695,57.14,70.13,10.39,24.68,40.58,Low,1948372
57,Archer Heights,13493.482625270846,55351.25042736109,0.2580429437697797,0.20641059173083184,0.15588910342925033,41.810879571562666,-87.7263628391597,55.84,36.36,62.34,67.53,55.52,High,284196
58,Brighton Park,43147.70356397226,64466.19398719332,0.11675113799457705,0.23016596556983063,0.10093866719801219,41.81736679935858,-87.69886064412809,14.29,62.34,24.68,55.84,39.29,Low,597086
59,Mckinley Park,14856.626947511188,85555.22180887079,0.136866199800888,0.1863231471348438,0.15874086695470288,41.82992225222828,-87.67250270029346,59.74,28.57,29.87,28.57,36.69,Low,371217
60,Bridgeport,33544.381206985076,78525.22768551661,0.20356520575394207,0.1736508946784587,0.1558048309270095,41.836150660976514,-87.64878824824524,54.55,22.08,44.16,32.47,38.32,Low,819684
61,New City,39949.51248831385,52053.81862288597,0.19306632062021287,0.2779311569933463,0.10770801606937366,41.809018523203044,-87.65916684500394,18.18,96.1,42.86,74.03,57.79,High,791998
62,West Elsdon,17754.14622853238,77260.32090629818,0.12012681905643702,0.25524828046560966,0.14914443114019885,41.79298198528588,-87.72420790440165,45.45,83.12,27.27,35.06,47.72,Moderate,206722
63,Gage Park,36002.98341568163,62321.48968547486,0.19143590666462862,0.23404728121332746,0.12800684919685504,41.795430626062874,-87.69643520920069,32.47,67.53,41.56,59.74,50.32,Moderate,432086
64,Clearing,35306.74451672641,73572.31757389364,0.08188536837411217,0.22421700429719502,0.16215624835956421,41.77958149035263,-87.7685110312481,62.34,53.25,12.99,41.56,42.54,Low,191970
