station_id,station_name,line_name,lat,lon
910,63rd-Dan Ryan,Red Line,41.78053433456899,-87.63100044907034
920,Pulaski-Congress,Blue Line (Congress),41.87388872444464,-87.725624930077
930,Midway Airport,Orange Line,41.7866135510346,-87.73795637168769
940,Halsted/63rd,Green Line,41.779027868120906,-87.644023127218
960,Pulaski-Midway,Orange Line,41.79988782039872,-87.72444964277845
970,Cicero-Congress,Blue Line (Congress),41.871608050522994,-87.74517217791391
980,Harlem-Congress,Blue Line (Congress),41.873490051902145,-87.80696087265021
990,69th,Red Line,41.76836786586706,-87.62580935004172
1000,Cermak-Chinatown,Red Line,41.853205796014315,-87.63096782627767
1010,Rockwell,Brown Line,41.96620994947778,-87.69411112481461
1020,Logan Square,Blue Line,41.92972804225143,-87.7085413860205
1030,Polk,Pink Line,41.871563004328266,-87.66954322799872
1040,Kedzie-Douglas,Pink Line,41.854130586664574,-87.70542795670059
1050,Linden,"Purple Line, Evanston Express",42.0731527622841,-87.69072951855928
1060,Ashland-Midway,Orange Line,41.83935587879333,-87.66531166332861
1070,Kedzie-Lake,Green Line (Lake),41.88432109621861,-87.70615542049478
1080,47th-South Elevated,Green Line,41.80920883501687,-87.61882612858349
1090,Monroe/State,Red Line,41.88074455879221,-87.62769645951258
1120,35-Bronzeville-IIT,Green Line,41.831678021663535,-87.62588147448886
1130,Halsted-Midway,Orange Line,41.84690144087428,-87.64813110426746
1140,King Drive,Green Line,41.780129716720246,-87.61554588356856
1150,Kedzie-Midway,Orange Line,41.804348408754976,-87.70432066571871
1160,Clinton-Lake,"Green (Lake), Pink",41.88570342367616,-87.64177130414286
1170,Garfield-Dan Ryan,Red Line,41.79541826211501,-87.63116917003116
1180,Kedzie-Ravenswood,Brown Line,41.966092607037865,-87.70884379252877
1190,Jarvis,Red Line,42.01587618094786,-87.6690921120182
1200,Argyle,Red Line,41.973453322879514,-87.65852996352429
1210,Wellington,"Brown, Purple (Express)",41.936032602681166,-87.65326645004653
1220,Fullerton,"Red, Brown, Purple (Express)",41.9250513685894,-87.6528658377562
1230,47th-Dan Ryan,Red Line,41.81033813281231,-87.63102579710096
1240,Addison-O'Hare,Blue Line,41.9473601024952,-87.71909930215281
1250,Central-Evanston,"Purple Line, Evanston Express",42.06398654414921,-87.68561725654831
1260,Austin-Lake,Green Line (Lake),41.887292784706375,-87.77413525552275
1270,43rd,Green Line,41.81646322287744,-87.61903578127783
1280,Jefferson Park,Blue Line,41.97063413812226,-87.76089227927595
1290,Kimball,Brown Line,41.96792815152359,-87.71314203532829
1300,Loyola,Red Line,42.0010733596017,-87.6610607008597
1310,Paulina,Brown Line,41.94370914853046,-87.67088394357924
1320,Belmont-North Main,"Red, Brown, Purple (Express)",41.93975074615252,-87.65338048799256
1330,Montrose-O'Hare,Blue Line,41.961486633040835,-87.74361697430824
1340,LaSalle,Blue Line,41.875567625950715,-87.63172207547264
1350,Oak Park-Lake,Green Line (Lake),41.8869875216134,-87.79378335175879
1360,California-Lake,Green Line (Lake),41.88421953162615,-87.69623421620008
1380,Bryn Mawr,Red Line,41.983504225254826,-87.65884028505945
1400,Roosevelt/State,Red Line,41.86736766601225,-87.62740238294732
1410,Chicago/Milwaukee,Blue Line,41.89607523740354,-87.65521427917491
1420,Addison-North Main,Red Line,41.94742799746875,-87.65362593077104
1430,87th,Red Line,41.73537121137496,-87.62475307324942
1440,Addison-Ravenswood,Brown Line,41.94702865537701,-87.6747361074464
1450,Chicago/State,Red Line,41.89667121282868,-87.62817635256233
1460,Irving Park-Ravenswood,Brown Line,41.95452313953493,-87.67495574333226
1480,Western-Ravenswood,Brown Line,41.96625004821776,-87.68850260590037
1490,Harrison,Red Line,41.874039244054394,-87.62747911770376
1500,Montrose-Ravenswood,Brown Line,41.96175171130978,-87.67516539063618
1510,Morgan,"Green (Lake), Pink",41.88557678872635,-87.65212799206752
1660,Lake/State,Red Line,41.88480886783524,-87.62781338044591
1670,Conservatory-Central Park,Green Line (Lake),41.88490437974896,-87.71652283291752
1680,Oakton-Skokie,Yellow Line,42.02624389455922,-87.74722101369109
1690,Cermak-McCormick Place,Green Line,41.85311508341227,-87.62640238492894
1700,Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",41.88322001293653,-87.62618878473234
1710,Damen-Lake,Green Line (Lake),41.884966194456915,-87.6768857202498
