year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled
2024,17031030701,Census Tract 307.01; Cook County; Illinois,17,031,030701,1516,44948.0,917,526,1335,87,314,0.20712401055408972,0.5736095965103599,0.0651685393258427
2024,17031030702,Census Tract 307.02; Cook County; Illinois,17,031,030702,2039,60603.0,1482,402,2039,132,621,0.30456105934281513,0.27125506072874495,0.06473761647866601
2024,17031030703,Census Tract 307.03; Cook County; Illinois,17,031,030703,3237,74702.0,1858,898,3237,224,763,0.23571207908557307,0.48331539289558667,0.06919987642879209
2024,17031030706,Census Tract 307.06; Cook County; Illinois,17,031,030706,2717,52167.0,1936,1109,2717,140,808,0.29738682370261316,0.5728305785123967,0.05152741994847258
2024,17031030800,Census Tract 308; Cook County; Illinois,17,031,030800,4610,105585.0,2211,444,4456,731,591,0.1281995661605206,0.20081411126187246,0.16404847396768402
2024,17031030900,Census Tract 309; Cook County; Illinois,17,031,030900,2818,87485.0,1519,212,2818,294,281,0.09971611071682045,0.13956550362080317,0.10432931156848829
2024,17031031000,Census Tract 310; Cook County; Illinois,17,031,031000,4108,132147.0,2195,503,4102,406,212,0.05160662122687439,0.22915717539863326,0.09897610921501707
2024,17031031100,Census Tract 311; Cook County; Illinois,17,031,031100,5018,92717.0,3108,1308,4931,286,536,0.1068154643284177,0.42084942084942084,0.05800040559724194
2024,17031031200,Census Tract 312; Cook County; Illinois,17,031,031200,5298,25713.0,3413,2084,5034,531,526,0.09928274820687051,0.6106065045414591,0.10548271752085817
2024,17031031300,Census Tract 313; Cook County; Illinois,17,031,031300,6136,68942.0,4216,1626,5779,267,2014,0.3282268578878748,0.38567362428842505,0.04620176501124762
2024,17031031400,Census Tract 314; Cook County; Illinois,17,031,031400,4697,93026.0,3128,1318,4479,141,984,0.2094954226101767,0.42135549872122763,0.03148024112525117
2024,17031031501,Census Tract 315.01; Cook County; Illinois,17,031,031501,4792,52250.0,2094,674,4732,1079,552,0.11519198664440734,0.3218720152817574,0.22802197802197802
2024,17031031502,Census Tract 315.02; Cook County; Illinois,17,031,031502,4463,49684.0,2533,1528,4456,785,437,0.09791619986556128,0.6032372680615871,0.1761669658886894
2024,17031031700,Census Tract 317; Cook County; Illinois,17,031,031700,5851,79867.0,3341,1182,5754,392,482,0.08237908049906,0.3537862915294822,0.0681265206812652
2024,17031031800,Census Tract 318; Cook County; Illinois,17,031,031800,1765,82313.0,951,216,1765,151,155,0.08781869688385269,0.22712933753943218,0.08555240793201133
2024,17031031900,Census Tract 319; Cook County; Illinois,17,031,031900,2489,94107.0,1417,539,2489,286,169,0.0678987545198875,0.3803810868031052,0.11490558457211732
2024,17031032100,Census Tract 321; Cook County; Illinois,17,031,032100,7442,72515.0,4220,2052,7255,598,672,0.09029830690674549,0.48625592417061614,0.08242591316333563
2024,17031040100,Census Tract 401; Cook County; Illinois,17,031,040100,3987,90952.0,1974,357,3818,683,495,0.12415349887133183,0.18085106382978725,0.17888947092718702
2024,17031040201,Census Tract 402.01; Cook County; Illinois,17,031,040201,7083,104484.0,3188,437,7061,1151,732,0.10334603981363828,0.13707653701380176,0.1630080725109758
2024,17031040202,Census Tract 402.02; Cook County; Illinois,17,031,040202,7198,67832.0,2839,892,7019,1597,1026,0.14253959433175883,0.3141951391334977,0.2275252885026357
2024,17031040300,Census Tract 403; Cook County; Illinois,17,031,040300,2991,78879.0,1126,68,2917,675,585,0.19558676028084251,0.06039076376554174,0.2314021254713747
2024,17031040401,Census Tract 404.01; Cook County; Illinois,17,031,040401,3441,108899.0,1579,363,3441,681,480,0.13949433304272013,0.2298923369221026,0.1979075850043592
2024,17031040402,Census Tract 404.02; Cook County; Illinois,17,031,040402,4209,99201.0,2507,411,4185,431,144,0.03421240199572345,0.16394096529716792,0.1029868578255675
2024,17031040600,Census Tract 406; Cook County; Illinois,17,031,040600,2521,89091.0,1276,321,2521,296,326,0.1293137643792146,0.25156739811912227,0.1174137247124157
2024,17031040700,Census Tract 407; Cook County; Illinois,17,031,040700,3681,105365.0,1683,447,3681,767,262,0.07117631078511275,0.26559714795008915,0.20836729149687586
2024,17031040800,Census Tract 408; Cook County; Illinois,17,031,040800,1670,114397.0,824,118,1664,233,170,0.10179640718562874,0.14320388349514562,0.14002403846153846
2024,17031040900,Census Tract 409; Cook County; Illinois,17,031,040900,2267,86359.0,1145,384,2267,374,298,0.13145125716806352,0.3353711790393013,0.16497573886193206
2024,17031050100,Census Tract 501; Cook County; Illinois,17,031,050100,2163,116438.0,1117,280,2163,360,186,0.08599167822468794,0.25067144136078784,0.1664355062413315
2024,17031050200,Census Tract 502; Cook County; Illinois,17,031,050200,5862,133708.0,2183,367,5862,1731,681,0.11617195496417605,0.16811726981218506,0.2952917093142272
2024,17031050300,Census Tract 503; Cook County; Illinois,17,031,050300,2973,151630.0,1204,74,2973,681,394,0.13252606794483687,0.061461794019933555,0.22906155398587286
2024,17031050500,Census Tract 505; Cook County; Illinois,17,031,050500,5221,141563.0,2044,150,5221,1614,386,0.07393219689714614,0.07338551859099804,0.30913618080827426
2024,17031050600,Census Tract 506; Cook County; Illinois,17,031,050600,2375,137083.0,1198,157,2375,385,153,0.06442105263157895,0.1310517529215359,0.16210526315789472
2024,17031050700,Census Tract 507; Cook County; Illinois,17,031,050700,1470,135653.0,713,71,1470,244,135,0.09183673469387756,0.09957924263674614,0.16598639455782313
2024,17031050800,Census Tract 508; Cook County; Illinois,17,031,050800,1448,190469.0,481,39,1448,470,62,0.04281767955801105,0.08108108108108109,0.324585635359116
2024,17031050900,Census Tract 509; Cook County; Illinois,17,031,050900,1456,132258.0,672,159,1456,310,116,0.07967032967032966,0.23660714285714285,0.2129120879120879
2024,17031051000,Census Tract 510; Cook County; Illinois,17,031,051000,1641,186458.0,688,47,1641,410,90,0.054844606946983544,0.06831395348837209,0.2498476538695917
2024,17031051100,Census Tract 511; Cook County; Illinois,17,031,051100,1851,161900.0,718,22,1851,518,131,0.07077255537547272,0.03064066852367688,0.27984873041599134
2024,17031051200,Census Tract 512; Cook County; Illinois,17,031,051200,1536,176571.0,628,106,1486,304,77,0.050130208333333336,0.16878980891719744,0.20457604306864063
2024,17031051300,Census Tract 513; Cook County; Illinois,17,031,051300,2810,147386.0,1077,84,2810,856,235,0.08362989323843416,0.07799442896935933,0.30462633451957294
2024,17031051400,Census Tract 514; Cook County; Illinois,17,031,051400,2606,167194.0,1057,118,2606,756,104,0.039907904834996163,0.11163670766319773,0.2900997697620875
2024,17031060100,Census Tract 601; Cook County; Illinois,17,031,060100,2895,157917.0,1245,239,2895,649,313,0.1081174438687392,0.19196787148594377,0.2241796200345423
2024,17031060200,Census Tract 602; Cook County; Illinois,17,031,060200,2176,85417.0,1187,259,2176,258,181,0.08318014705882353,0.21819713563605728,0.11856617647058823
2024,17031060300,Census Tract 603; Cook County; Illinois,17,031,060300,3057,173125.0,1286,355,3057,539,222,0.07262021589793916,0.276049766718507,0.17631665031076219
2024,17031060400,Census Tract 604; Cook County; Illinois,17,031,060400,3533,153625.0,1578,364,3533,747,144,0.040758562128502686,0.23067173637515842,0.2114350410416077
2024,17031060500,Census Tract 605; Cook County; Illinois,17,031,060500,1329,52143.0,738,359,1329,254,298,0.22422874341610233,0.48644986449864497,0.1911211437170805
2024,17031060800,Census Tract 608; Cook County; Illinois,17,031,060800,5413,90174.0,3634,1323,5413,291,809,0.14945501570293737,0.3640616400660429,0.053759467947533716
2024,17031060900,Census Tract 609; Cook County; Illinois,17,031,060900,7283,79016.0,5076,1971,7283,334,1234,0.1694356721131402,0.3882978723404255,0.04586022243580942
2024,17031061000,Census Tract 610; Cook County; Illinois,17,031,061000,2284,121332.0,1143,400,2284,197,102,0.0446584938704028,0.34995625546806647,0.0862521891418564
2024,17031061100,Census Tract 611; Cook County; Illinois,17,031,061100,1368,117330.0,751,315,1368,126,40,0.029239766081871343,0.4194407456724368,0.09210526315789473
2024,17031061200,Census Tract 612; Cook County; Illinois,17,031,061200,1954,122857.0,870,265,1954,247,117,0.059877175025588536,0.3045977011494253,0.12640736949846468
2024,17031061500,Census Tract 615; Cook County; Illinois,17,031,061500,1811,128958.0,880,208,1811,244,106,0.05853119823302043,0.23636363636363636,0.13473219215902815
2024,17031061800,Census Tract 618; Cook County; Illinois,17,031,061800,1152,85139.0,773,477,1152,16,50,0.043402777777777776,0.6170763260025873,0.013888888888888888
2024,17031061901,Census Tract 619.01; Cook County; Illinois,17,031,061901,3709,73769.0,2690,1846,3709,255,650,0.1752493933674845,0.6862453531598512,0.06875168509032084
2024,17031061902,Census Tract 619.02; Cook County; Illinois,17,031,061902,4581,95705.0,2962,1318,4581,350,717,0.15651604453176163,0.4449696151249156,0.07640253219821
2024,17031062000,Census Tract 620; Cook County; Illinois,17,031,062000,3021,121375.0,1831,831,3021,269,132,0.04369414101290963,0.4538503549972693,0.08904336312479312
2024,17031062100,Census Tract 621; Cook County; Illinois,17,031,062100,3841,103462.0,2186,1129,3829,217,273,0.07107524082270242,0.5164684354986276,0.056672760511883
2024,17031062200,Census Tract 622; Cook County; Illinois,17,031,062200,3119,197159.0,1427,287,3119,550,59,0.01891631933311959,0.20112123335669235,0.17633857005450465
2024,17031062300,Census Tract 623; Cook County; Illinois,17,031,062300,1596,250001.0,610,79,1596,397,79,0.04949874686716792,0.12950819672131147,0.2487468671679198
2024,17031062400,Census Tract 624; Cook County; Illinois,17,031,062400,1803,152361.0,781,214,1803,363,163,0.0904048807542984,0.2740076824583867,0.20133111480865223
2024,17031062500,Census Tract 625; Cook County; Illinois,17,031,062500,1435,203333.0,710,179,1435,200,26,0.018118466898954706,0.252112676056338,0.13937282229965156
2024,17031062600,Census Tract 626; Cook County; Illinois,17,031,062600,2317,210536.0,889,93,2317,733,89,0.038411739318083726,0.1046119235095613,0.3163573586534312
2024,17031062700,Census Tract 627; Cook County; Illinois,17,031,062700,3152,146979.0,1497,372,3152,431,277,0.08788071065989848,0.24849699398797595,0.13673857868020303
2024,17031062800,Census Tract 628; Cook County; Illinois,17,031,062800,3925,190139.0,1623,259,3925,767,192,0.0489171974522293,0.15958102279728897,0.1954140127388535
2024,17031062900,Census Tract 629; Cook County; Illinois,17,031,062900,4232,169906.0,2036,505,4232,530,161,0.03804347826086957,0.2480353634577603,0.12523629489603025
2024,17031063000,Census Tract 630; Cook County; Illinois,17,031,063000,3062,102040.0,1800,736,3051,258,235,0.0767472240365774,0.4088888888888889,0.08456243854473942
2024,17031063100,Census Tract 631; Cook County; Illinois,17,031,063100,2336,94948.0,1395,881,2336,187,57,0.02440068493150685,0.6315412186379928,0.0800513698630137
2024,17031063200,Census Tract 632; Cook County; Illinois,17,031,063200,6806,79782.0,4821,2519,6722,255,1433,0.21054951513370557,0.5225057042107446,0.037935138351681046
2024,17031063301,Census Tract 633.01; Cook County; Illinois,17,031,063301,2898,66901.0,2045,1269,2898,127,408,0.14078674948240166,0.6205378973105135,0.04382332643202209
2024,17031063302,Census Tract 633.02; Cook County; Illinois,17,031,063302,4358,98219.0,2950,1694,4358,320,439,0.10073428178063332,0.5742372881355933,0.07342817806333181
2024,17031063303,Census Tract 633.03; Cook County; Illinois,17,031,063303,1315,107639.0,938,427,1295,66,631,0.47984790874524713,0.4552238805970149,0.050965250965250966
