year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled,transportation_need_index_0_100,need_quintile
2024,17031803017,Census Tract 8030.17; Cook County; Illinois,17,31,803017,6520,108724,2516,141,6491,1405,1075,0.1648773006134969,0.0560413354531001,0.2164535510707133,41.45,Low
2024,17031803100,Census Tract 8031; Cook County; Illinois,17,31,803100,3545,170089,1155,11,3545,1058,535,0.1509167842031029,0.0095238095238095,0.2984485190409027,37.1,Very Low
2024,17031803200,Census Tract 8032; Cook County; Illinois,17,31,803200,4961,100422,2088,323,4627,955,1660,0.3346099576698246,0.1546934865900383,0.2063972336287011,60.03,High
2024,17031803300,Census Tract 8033; Cook County; Illinois,17,31,803300,5529,96587,3023,245,5529,786,1025,0.1853861457768131,0.0810453192193185,0.1421595225176342,40.67,Low
2024,17031803400,Census Tract 8034; Cook County; Illinois,17,31,803400,6398,134260,2183,19,6398,1982,1062,0.1659893716786495,0.0087036188731103,0.3097843075961238,42.3,Low
2024,17031803500,Census Tract 8035; Cook County; Illinois,17,31,803500,5238,131763,2164,125,5207,1263,1055,0.2014127529591447,0.0577634011090573,0.2425580948722873,47.45,Moderate
2024,17031803603,Census Tract 8036.03; Cook County; Illinois,17,31,803603,6489,174383,2317,41,6486,1814,1434,0.2209893666204345,0.0176952956409149,0.2796793092815294,45.58,Moderate
2024,17031803604,Census Tract 8036.04; Cook County; Illinois,17,31,803604,4446,87422,1855,92,4384,951,928,0.2087269455690508,0.0495956873315363,0.2169251824817518,50.57,Moderate
2024,17031803605,Census Tract 8036.05; Cook County; Illinois,17,31,803605,6237,111063,2582,0,6237,1261,1214,0.1946448613115279,0.0,0.2021805355138688,35.48,Very Low
2024,17031803607,Census Tract 8036.07; Cook County; Illinois,17,31,803607,4434,125818,1719,22,4434,949,820,0.184934596301308,0.0127981384525887,0.2140279657194407,35.59,Very Low
2024,17031803608,Census Tract 8036.08; Cook County; Illinois,17,31,803608,7939,108394,3305,198,7939,1751,1168,0.1471218037536213,0.0599092284417549,0.2205567451820128,39.95,Low
