the_geom,station_id,longname,lines,address,ada,pknrd,point_x,point_y,legend
POINT (-87.6728924507902 42.01906322017403),900,Howard,"Red, Yellow, Purple, Evanston Express",1649 W. Howard Street,True,True,1163713.08011511,1950229.06835313,Multiple Lines
POINT (-87.63063629512068 41.831190560189036),190,Sox-35th-Dan Ryan,Red Line,142 W. 35th Street,True,False,1175756.53587033,1881859.32211346,Red Line
POINT (-87.61903578127783 41.81646322287744),1270,43rd,Green Line,314 E. 43rd Street,True,False,1178962.66758531,1876518.81702049,Green Line
POINT (-87.64098421671696 41.875538904999026),430,Clinton-Congress,Blue Line,426 S. Clinton Street,False,False,1172806.09209158,1897996.84712049,Blue Line
POINT (-87.66649606690225 41.90335508549131),320,Division/Milwaukee,Blue Line,1200 N. Milwaukee Avenue,False,False,1165779.32370104,1908078.03624988,Blue Line
POINT (-87.62475307324942 41.73537121137496),1430,87th,Red Line,15 W. 87th Street,True,False,1177647.63808009,1846956.57340895,Red Line
POINT (-87.6968897987879 41.92193917150245),570,California/Milwaukee,Blue Line (O'Hare),2211 N. California Avenue,False,False,1157455.12068528,1914787.23945613,Blue Line
POINT (-87.70432066571871 41.804348408754976),1150,Kedzie-Midway,Orange Line,4900 S. Kedzie Avenue,True,True,1155746.78506769,1871922.53234421,Orange Line
POINT (-87.72540376831816 41.88541197969969),30,Pulaski-Lake,Green Line (Lake),4000 W. Lake Street,True,False,1149789.47306214,1901420.43035568,Green Line
POINT (-87.74469840019538 41.88651935351997),480,Cicero-Lake,Green Line (Lake),4800 W. Lake Street,True,False,1144532.74806525,1901787.32648402,Green Line
POINT (-87.72432672502005 41.85385683122457),150,Pulaski-Douglas,Pink Line,2005 S. Pulaski Road,True,False,1150164.33155849,1889923.88301697,Pink Line
POINT (-87.65338048799256 41.93975074615252),1320,Belmont-North Main,"Red, Brown, Purple (Express)",945 W. Belmont Avenue,True,False,1169244.56018426,1921368.70147826,Multiple Lines
POINT (-87.644023127218 41.779027868120906),940,Halsted/63rd,Green Line,6321 S. Halsted Street,True,False,1172260.63647507,1862821.97015973,Green Line
POINT (-87.75191862595247 42.03895069338699),140,Dempster-Skokie,Yellow Line,5001 W. Dempster Street,True,True,1142189.79919907,1957320.43245574,Yellow Line
POINT (-87.62783518066094 41.88574041081893),260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",200 N. State Street,False,False,1176356.59423889,1901743.42939598,Multiple Lines
POINT (-87.6840649867607 41.80468356005486),310,Western-Midway,Orange Line,4901 S. Western Avenue,True,True,1161268.48644883,1872085.72671236,Orange Line
POINT (-87.64177130414286 41.88570342367616),1160,Clinton-Lake,"Green (Lake), Pink",540 W. Lake Street,True,False,1172561.88677935,1901699.06101194,Multiple Lines
