service_date,bus,rail_boardings,total_rides
2024-08-28T00:00:00.000,637588,442189,1079777
2024-08-29T00:00:00.000,644581,469123,1113704
2024-08-30T00:00:00.000,606824,417283,1024107
2024-08-31T00:00:00.000,428266,353476,781742
2024-09-01T00:00:00.000,344967,290763,635730
2024-09-02T00:00:00.000,325776,239695,565471
2024-09-03T00:00:00.000,654167,437190,1091357
2024-09-04T00:00:00.000,653220,454140,1107360
2024-09-05T00:00:00.000,644748,447217,1091965
2024-09-06T00:00:00.000,616701,434618,1051319
2024-09-07T00:00:00.000,409867,335343,745210
2024-09-08T00:00:00.000,320438,267262,587700
2024-09-09T00:00:00.000,618371,405350,1023721
2024-09-10T00:00:00.000,646216,451939,1098155
2024-09-11T00:00:00.000,655564,452664,1108228
2024-09-12T00:00:00.000,637736,454382,1092118
2024-09-13T00:00:00.000,610703,407861,1018564
2024-09-14T00:00:00.000,412078,324266,736344
2024-09-15T00:00:00.000,308413,257266,565679
2024-09-16T00:00:00.000,607976,412568,1020544
2024-09-17T00:00:00.000,651158,466890,1118048
2024-09-18T00:00:00.000,655614,467380,1122994
2024-09-19T00:00:00.000,652616,478448,1131064
2024-09-20T00:00:00.000,622603,444850,1067453
2024-09-21T00:00:00.000,433756,343362,777118
2024-09-22T00:00:00.000,271129,219586,490715
2024-09-23T00:00:00.000,613582,407176,1020758
2024-09-24T00:00:00.000,582939,434551,1017490
2024-09-25T00:00:00.000,669879,472330,1142209
2024-09-26T00:00:00.000,659106,474890,1133996
2024-09-27T00:00:00.000,564419,418093,982512
2024-09-28T00:00:00.000,384642,312755,697397
2024-09-29T00:00:00.000,312714,246922,559636
2024-09-30T00:00:00.000,619994,406220,1026214
2024-10-01T00:00:00.000,675858,457355,1133213
2024-10-02T00:00:00.000,663546,452173,1115719
2024-10-03T00:00:00.000,670461,454449,1124910
2024-10-04T00:00:00.000,619444,409598,1029042
2024-10-05T00:00:00.000,431370,318359,749729
2024-10-06T00:00:00.000,336190,248486,584676
2024-10-07T00:00:00.000,623133,406230,1029363
2024-10-08T00:00:00.000,652969,459661,1112630
2024-10-09T00:00:00.000,661361,467517,1128878
2024-10-10T00:00:00.000,650278,485221,1135499
2024-10-11T00:00:00.000,624145,456909,1081054
2024-10-12T00:00:00.000,427732,369877,797609
2024-10-13T00:00:00.000,280965,466771,747736
2024-10-14T00:00:00.000,486971,384342,871313
2024-10-15T00:00:00.000,582685,444249,1026934
2024-10-16T00:00:00.000,652964,462121,1115085
2024-10-17T00:00:00.000,650082,466090,1116172
2024-10-18T00:00:00.000,627426,413404,1040830
2024-10-19T00:00:00.000,425987,354109,780096
2024-10-20T00:00:00.000,321239,239392,560631
2024-10-21T00:00:00.000,619582,403752,1023334
2024-10-22T00:00:00.000,642373,451887,1094260
2024-10-23T00:00:00.000,653689,461471,1115160
2024-10-24T00:00:00.000,654696,465121,1119817
2024-10-25T00:00:00.000,611655,408835,1020490
2024-10-26T00:00:00.000,427475,296326,723801
2024-10-27T00:00:00.000,312965,215594,528559
2024-10-28T00:00:00.000,611041,389359,1000400
2024-10-29T00:00:00.000,652674,444706,1097380
2024-10-30T00:00:00.000,657942,451915,1109857
2024-10-31T00:00:00.000,605292,425596,1030888
2024-11-01T00:00:00.000,618998,381782,1000780
2024-11-02T00:00:00.000,410559,281277,691836
2024-11-03T00:00:00.000,267845,227887,495732
2024-11-04T00:00:00.000,553515,383217,936732
2024-11-05T00:00:00.000,519574,379110,898684
2024-11-06T00:00:00.000,631969,427995,1059964
2024-11-07T00:00:00.000,644506,450680,1095186
2024-11-08T00:00:00.000,601808,396291,998099
2024-11-09T00:00:00.000,391070,288855,679925
2024-11-10T00:00:00.000,306889,232420,539309
2024-11-11T00:00:00.000,556273,358572,914845
2024-11-12T00:00:00.000,640199,437888,1078087
2024-11-13T00:00:00.000,633647,434362,1068009
2024-11-14T00:00:00.000,620448,439564,1060012
2024-11-15T00:00:00.000,603141,397040,1000181
2024-11-16T00:00:00.000,399551,316374,715925
2024-11-17T00:00:00.000,308995,233733,542728
2024-11-18T00:00:00.000,565097,383053,948150
2024-11-19T00:00:00.000,639269,439683,1078952
2024-11-20T00:00:00.000,625498,428958,1054456
2024-11-21T00:00:00.000,539977,414493,954470
2024-11-22T00:00:00.000,583958,431451,1015409
2024-11-23T00:00:00.000,384030,340935,724965
2024-11-24T00:00:00.000,301518,222021,523539
2024-11-25T00:00:00.000,512387,344627,857014
2024-11-26T00:00:00.000,518470,356826,875296
2024-11-27T00:00:00.000,477247,308919,786166
2024-11-28T00:00:00.000,190991,132382,323373
2024-11-29T00:00:00.000,344005,224635,568640
2024-11-30T00:00:00.000,308864,217565,526429
2024-12-01T00:00:00.000,251107,175212,426319
2024-12-02T00:00:00.000,554092,349175,903267
2024-12-03T00:00:00.000,607733,405908,1013641
2024-12-04T00:00:00.000,600576,411039,1011615
2024-12-05T00:00:00.000,564481,401576,966057
2024-12-06T00:00:00.000,559457,371522,930979
2024-12-07T00:00:00.000,384908,286352,671260
2024-12-08T00:00:00.000,310160,216292,526452
2024-12-09T00:00:00.000,585535,364276,949811
2024-12-10T00:00:00.000,597740,406353,1004093
2024-12-11T00:00:00.000,580091,398016,978107
2024-12-12T00:00:00.000,481459,350852,832311
2024-12-13T00:00:00.000,521773,360766,882539
2024-12-14T00:00:00.000,347954,262799,610753
2024-12-15T00:00:00.000,277186,198006,475192
2024-12-16T00:00:00.000,551435,342529,893964
2024-12-17T00:00:00.000,582711,391307,974018
2024-12-18T00:00:00.000,577854,382314,960168
2024-12-19T00:00:00.000,552524,373795,926319
2024-12-20T00:00:00.000,509530,326711,836241
2024-12-21T00:00:00.000,346988,234439,581427
2024-12-22T00:00:00.000,271433,188272,459705
2024-12-23T00:00:00.000,425982,267754,693736
2024-12-24T00:00:00.000,341225,181487,522712
2024-12-25T00:00:00.000,146592,86287,232879
2024-12-26T00:00:00.000,366721,225335,592056
2024-12-27T00:00:00.000,394689,245475,640164
2024-12-28T00:00:00.000,348599,222891,571490
2024-12-29T00:00:00.000,231003,158657,389660
2024-12-30T00:00:00.000,447644,285475,733119
2024-12-31T00:00:00.000,386206,281447,667653
